        Nckt,       Ntube,        Nmod,      tRi(C),      tRo(C),    pRi(kPa),    pRo(kPa),  hRi(kJ/kg),  hRo(kJ/kg),         xRi,         xRo,      tAi(C),      tAo(C),        rhAi,        rhAo,  hci(W/m2K),          EF,  hco(W/m2K),   mu(uPa-s),     k(W/mK),  cp(kJ/kgK),  rho(kg/m3),       ReVap,       ReLiq,     Qmod(W),  MassLiq(g),  MassVap(g),  MassTot(g),  mdot(kg/h),
  4,  3,  6,    30.444,    29.129,  1654.831,  1654.782,   237.154,   235.482,     0.000,     0.000,    22.510,    23.793,     0.668,     0.618,   360.804,     1.000,    66.971,   158.548,     0.082,     1.272,  1174.753,     0.000,  5770.107,     6.508,     6.422,     0.000,     6.422,    13.684,
  4,  3,  7,    29.129,    27.989,  1654.782,  1654.733,   235.482,   234.037,     0.000,     0.000,    22.271,    23.380,     0.677,     0.633,   360.802,     1.000,    66.967,   160.862,     0.082,     1.266,  1179.874,     0.000,  5770.021,     5.625,     6.422,     0.000,     6.422,    13.684,
  4,  3,  8,    27.989,    26.998,  1654.733,  1654.684,   234.037,   232.790,     0.000,     0.000,    22.073,    23.029,     0.685,     0.646,   360.801,     1.000,    66.963,   162.887,     0.083,     1.261,  1184.266,     0.000,  5769.933,     4.853,     6.422,     0.000,     6.422,    13.684,
  4,  3,  9,    26.998,    26.146,  1654.684,  1654.636,   232.790,   231.718,     0.000,     0.000,    21.909,    22.732,     0.691,     0.658,   360.799,     1.000,    66.959,   164.651,     0.083,     1.256,  1188.028,     0.000,  5769.846,     4.175,     6.422,     0.000,     6.422,    13.684,
  4,  3, 10,    26.146,    25.409,  1654.636,  1654.584,   231.718,   230.796,     0.000,     0.000,    21.773,    22.480,     0.697,     0.668,   360.797,     1.000,    66.956,   166.178,     0.084,     1.252,  1191.250,     0.000,  5769.756,     3.586,     7.605,     0.000,     7.605,    13.684,
  4,  4,  1,    25.409,    25.632,  1654.584,  1654.535,   230.796,   231.075,     0.000,     0.000,    26.730,    26.516,     0.549,     0.556,   360.796,     1.000,    67.090,   166.674,     0.084,     1.251,  1192.285,     0.000,  5769.666,    -1.084,     6.422,     0.000,     6.422,    13.684,
  4,  4,  2,    25.632,    25.822,  1654.535,  1654.486,   231.075,   231.312,     0.000,     0.000,    26.758,    26.576,     0.549,     0.555,   360.794,     1.000,    67.091,   166.274,     0.084,     1.252,  1191.457,     0.000,  5769.579,    -0.924,     6.422,     0.000,     6.422,    13.684,
  4,  4,  3,    25.822,    25.983,  1654.486,  1654.437,   231.312,   231.513,     0.000,     0.000,    26.776,    26.622,     0.548,     0.553,   360.793,     1.000,    67.091,   165.934,     0.084,     1.253,  1190.752,     0.000,  5769.491,    -0.783,     6.422,     0.000,     6.422,    13.684,
  4,  4,  4,    25.983,    26.116,  1654.437,  1654.388,   231.513,   231.681,     0.000,     0.000,    26.777,    26.648,     0.548,     0.553,   360.791,     1.000,    67.092,   165.650,     0.084,     1.254,  1190.158,     0.000,  5769.404,    -0.651,     6.422,     0.000,     6.422,    13.684,
  4,  4,  5,    26.116,    26.169,  1654.388,  1654.339,   231.681,   231.747,     0.000,     0.000,    26.432,    26.381,     0.556,     0.558,   360.790,     1.000,    67.080,   165.471,     0.084,     1.254,  1189.779,     0.000,  5769.316,    -0.259,     6.422,     0.000,     6.422,    13.684,
  4,  4,  6,    26.169,    25.795,  1654.339,  1654.290,   231.747,   231.279,     0.000,     0.000,    23.947,    24.306,     0.620,     0.607,   360.788,     1.000,    67.009,   165.781,     0.084,     1.253,  1190.426,     0.000,  5769.229,     1.823,     6.422,     0.000,     6.422,    13.684,
  4,  4,  7,    25.795,    25.406,  1654.290,  1654.241,   231.279,   230.792,     0.000,     0.000,    23.485,    23.858,     0.635,     0.621,   360.786,     1.000,    66.997,   166.519,     0.084,     1.252,  1191.963,     0.000,  5769.141,     1.895,     6.422,     0.000,     6.422,    13.684,
  4,  4,  8,    25.406,    25.180,  1654.241,  1654.192,   230.792,   230.510,     0.000,     0.000,    24.067,    24.283,     0.617,     0.609,   360.785,     1.000,    67.011,   167.115,     0.084,     1.250,  1193.197,     0.000,  5769.054,     1.098,     6.422,     0.000,     6.422,    13.684,
  4,  4,  9,    25.180,    25.121,  1654.192,  1654.143,   230.510,   230.436,     0.000,     0.000,    24.830,    24.887,     0.595,     0.593,   360.783,     1.000,    67.033,   167.391,     0.084,     1.249,  1193.767,     0.000,  5768.966,     0.287,     6.422,     0.000,     6.422,    13.684,
  4,  4, 10,    25.121,    25.241,  1654.143,  1654.091,   230.436,   230.586,     0.000,     0.000,    25.832,    25.717,     0.570,     0.573,   360.782,     1.000,    67.062,   167.332,     0.084,     1.250,  1193.645,     0.000,  5768.876,    -0.583,     7.605,     0.000,     7.605,    13.684,
  4,  5,  1,    25.241,    25.485,  1654.091,  1654.042,   230.586,   230.892,     0.000,     0.000,    26.690,    26.456,     0.550,     0.558,   360.780,     1.000,    67.089,   166.978,     0.084,     1.250,  1192.914,     0.000,  5768.787,    -1.189,     6.422,     0.000,     6.422,    13.684,
  4,  5,  2,    25.485,    25.679,  1654.042,  1653.994,   230.892,   231.134,     0.000,     0.000,    26.635,    26.449,     0.551,     0.557,   360.778,     1.000,    67.088,   166.553,     0.084,     1.251,  1192.034,     0.000,  5768.699,    -0.944,     6.422,     0.000,     6.422,    13.684,
  4,  5,  3,    25.679,    25.828,  1653.994,  1653.945,   231.134,   231.319,     0.000,     0.000,    26.557,    26.416,     0.553,     0.558,   360.777,     1.000,    67.085,   166.221,     0.084,     1.252,  1191.347,     0.000,  5768.611,    -0.721,     6.422,     0.000,     6.422,    13.684,
  4,  5,  4,    25.828,    25.931,  1653.945,  1653.896,   231.319,   231.448,     0.000,     0.000,    26.440,    26.341,     0.556,     0.559,   360.775,     1.000,    67.081,   165.977,     0.084,     1.253,  1190.843,     0.000,  5768.524,    -0.502,     6.422,     0.000,     6.422,    13.684,
  4,  5,  5,    25.931,    25.983,  1653.896,  1653.847,   231.448,   231.513,     0.000,     0.000,    26.239,    26.189,     0.560,     0.562,   360.774,     1.000,    67.074,   165.826,     0.084,     1.253,  1190.531,     0.000,  5768.436,    -0.253,     6.422,     0.000,     6.422,    13.684,
  4,  5,  6,    25.983,    25.974,  1653.847,  1653.798,   231.513,   231.502,     0.000,     0.000,    25.930,    25.939,     0.567,     0.567,   360.772,     1.000,    67.065,   165.784,     0.084,     1.253,  1190.444,     0.000,  5768.349,     0.043,     6.422,     0.000,     6.422,    13.684,
  4,  5,  7,    25.974,    25.773,  1653.798,  1653.749,   231.502,   231.251,     0.000,     0.000,    24.782,    24.975,     0.596,     0.589,   360.771,     1.000,    67.031,   165.988,     0.084,     1.253,  1190.865,     0.000,  5768.262,     0.977,     6.422,     0.000,     6.422,    13.684,
  4,  5,  8,    25.773,    25.272,  1653.749,  1653.700,   231.251,   230.625,     0.000,     0.000,    22.801,    23.282,     0.658,     0.639,   360.769,     1.000,    66.980,   166.669,     0.084,     1.251,  1192.273,     0.000,  5768.174,     2.437,     6.422,     0.000,     6.422,    13.684,
  4,  5,  9,    25.272,    24.811,  1653.700,  1653.651,   230.625,   230.050,     0.000,     0.000,    22.544,    22.985,     0.667,     0.650,   360.768,     1.000,    66.973,   167.600,     0.084,     1.249,  1194.200,     0.000,  5768.087,     2.237,     6.422,     0.000,     6.422,    13.684,
  4,  5, 10,    24.811,    24.392,  1653.651,  1653.599,   230.050,   229.526,     0.000,     0.000,    22.324,    22.726,     0.676,     0.659,   360.766,     1.000,    66.968,   168.453,     0.084,     1.247,  1195.964,     0.000,  5767.997,     2.040,     7.606,     0.000,     7.606,    13.684,
  4,  6,  1,    24.392,    24.798,  1653.599,  1653.550,   229.526,   230.033,     0.000,     0.000,    26.799,    26.410,     0.546,     0.559,   360.764,     1.000,    67.091,   168.466,     0.084,     1.247,  1195.990,     0.000,  5767.907,    -1.975,     6.422,     0.000,     6.422,    13.684,
  4,  6,  2,    24.798,    25.143,  1653.550,  1653.501,   230.033,   230.464,     0.000,     0.000,    26.843,    26.513,     0.545,     0.556,   360.763,     1.000,    67.092,   167.737,     0.084,     1.249,  1194.483,     0.000,  5767.819,    -1.678,     6.423,     0.000,     6.423,    13.684,
  4,  6,  3,    25.143,    25.436,  1653.501,  1653.452,   230.464,   230.831,     0.000,     0.000,    26.880,    26.600,     0.544,     0.553,   360.761,     1.000,    67.092,   167.118,     0.084,     1.250,  1193.203,     0.000,  5767.731,    -1.425,     6.423,     0.000,     6.423,    13.684,
  4,  6,  4,    25.436,    25.684,  1653.452,  1653.403,   230.831,   231.140,     0.000,     0.000,    26.905,    26.668,     0.543,     0.550,   360.760,     1.000,    67.093,   166.594,     0.084,     1.251,  1192.118,     0.000,  5767.644,    -1.205,     6.423,     0.000,     6.423,    13.684,
